School,Small School,Locality,"Number of VCE, VCE Vocational Major (VM) studies and VCE VET programs at Units 3 and 4 level with enrolments ",Number of Vocational Education and Training (VET) certificates with enrolments,Enrolment(s) in the Victorian Pathways Certificate (VPC),Enrolment(s) in the International Baccalaureate (IB) Diploma,Enrolment(s) in Northern Hemisphere Timetable (NHT) delivery at Units 3 and 4 level ​,Number of students enrolled in at least one VCE or VCE Vocational Major (VM) study or VCE VET program at Units 3 and 4 level,Number of students enrolled in a Vocational Education and Training (VET) certificate,Percentage of VCE students applying for tertiary places through the Victorian Tertiary Admissions Centre (VTAC),Percentage of satisfactory VCE completions,Number of students awarded the VCE Vocational Major (VM),Number of students awarded the VCE (Baccalaureate),Percentage of Vocational Education and Training (VET) units of competency completed,Percentage of Higher Education studies (HES) completed,Median VCE study score,Percentage of study scores of 40 and over
Melba College,,CROYDON,40,25,Y,,,95,100,40,95,25,-,57,-,31,11.3
Montmorency Sec College,,MONTMORENCY,58,36,,,,230,123,71,98,23,4,98,I/D,31,7.4
Mount St Joseph Girls' College,,ALTONA,43,16,Y,,,197,58,86,98,8,6,100,-,31,7.1
Mount Waverley Sec College,,MOUNT WAVERLEY,67,32,Y,,Y,404,70,90,100,8,25,85,I/D,31,7.4
Mullauna College,,MITCHAM,42,20,,,,135,49,69,95,7,< 4,78,I/D,31,6.9
Oakleigh Grammar,,OAKLEIGH,25,1,,,,95,< 4,82,97,-,< 4,I/D,-,31,4.7
OneSchool Global Vic,,MELTON WEST,16,1,,,,115,101,2,100,-,< 4,98,-,31,7.6
Overnewton Anglican Comm Coll,,KEILOR,57,22,,,,221,57,90,99,14,5,90,I/D,31,9.2
Sandringham College,,SANDRINGHAM,53,28,Y,,,230,86,69,100,13,4,78,-,31,6.9
Sirius College - Eastmeadows,,BROADMEADOWS,23,2,,,,180,21,96,98,-,< 4,97,100,31,10.7
St Albans Secondary College,,ST ALBANS,54,26,,,,325,215,80,94,56,19,69,-,31,8.8
St Aloysius College,,NORTH MELBOURNE,42,15,,,,104,46,97,100,8,5,100,-,31,8.6
St Bernard's College,,ESSENDON,58,22,Y,,,363,142,74,99,25,9,95,-,31,8.0
St Columba's College,,ESSENDON,58,28,,,,229,110,91,99,15,12,99,-,31,7.0
University High School,,PARKVILLE,72,26,,,,583,62,88,97,7,48,54,92,31,9.0
Viewbank College,,VIEWBANK,66,29,,,,338,114,80,98,10,9,86,I/D,31,7.0
Waverley Christian College,,NARRE WARREN SOUTH,33,10,Y,,,142,38,92,100,< 4,11,100,-,31,4.5
Wesley College,,GLEN WAVERLEY,41,11,,Y,,131,16,96,100,-,5,81,I/D,31,7.6
Williamstown High School,,WILLIAMSTOWN,68,26,Y,,,400,122,77,99,33,8,67,I/D,31,10.3
Woodleigh School,,LANGWARRIN SOUTH,39,15,,,,132,23,84,98,-,< 4,95,I/D,31,6.5
Alphington Grammar School,,ALPHINGTON,21,-,,,,77,-,100,100,-,< 4,-,-,30,12.4
